Contact Name,Company Name,Email,Website,Description,Products Requested,Language Spoken,,Country
,Seafood Exporters Australia,seafoodexporters@bigpond.com,,Exportador e importador.,,English,,USA
,4 Seas Pty Ltd,craig@4seas.com.au,,Comercio de productos del mar.,,English,,Australia
,Abrolhos Octopus,dion@abrolhosoctopus.com,,Especialistas en pulpo.,,English,,USA
,Austral Fisheries,DSkinns@australfisheries.com.au,,Pesca sostenible y comercio.,,English,,Australia
,Australia Bay Seafoods,bpassey@australiabay.com,,Pescado australiano.,,English,,USA
,Australian Blue Ocean,info@tasbo.com.au,,Comercio marino.,,English,,Australia
,Australian Fishing Enterprises,PeterFare@saringroup.com.au,,Empresa pesquera y comercial.,,English,,Australia
,Australian Longline Fishing,awf@australianlongline.com.au,,Pesca de palangre y comercio.,,English,,Australia
,Newport Fish Importers,frank@newportfish.ca,,Importador en Toronto.,,English,,Canada
,Inter-Canada Fisheries,benhaim@mbproductsgroup.com,,Importador de África y Sudamérica.,,English,,USA
,Tim Williston Seafood,timwillistonseafood@gmail.com,,Trader de seafood canadiense.,,English,,USA
,Boudreau Fisheries,bfs@nb.aibn.com,,Pesca y comercio en New Brunswick.,,English,,USA
,Native Harvest (Atlantic),pbsltd.blc@gmail.com,,Productos del mar del Atlántico.,,English,,USA
,AR Boudreau & Sons,arboudreauandsons@rogers.com,,Empresa familiar pesquera.,,English,,USA
,Brenda Hall LeBlanc,bhallleblanc@gmail.com,,Comercio de seafood.,,English,,USA
,CenSea (Central Seaway),censea@censea.com,,Importador líder de camarón y mariscos.,,English,,USA
,Beaver Street Fisheries,sfsales@bstreet.com,,"Marca 'Sea Best', gran importador.",,English,,USA
,Atlantica Imports,scottg@atlanticaimports.com,,,,English,,USA
,Seafood Connection,jkaptijn@seafoodconnection.nl,,,,English,,Netherlands
,AB Seafood Ltd.,info@abseafood.eu,,,,English,,USA
,AB Seafood Ltd.,sales@abseafood.eu,,,,English,,USA
,L'Ocean,commande@locean.be,,Mayorista belga enfocado en mariscos frescos de alta calidad.,,English,,Belgium
,Scanimex Seafood,leen.de.rover@scanimex.nl,,Traders internacionales especializados en pescado congelado pelágicos.,,English,,Netherlands
,Rari Food International,"info@rari.de, sales@rari.de",,,,English,,Germany
,Westcoast Seafood E.K.,roland.korn@westcoast-seafood.de,,Especialista alemán en la importación de pescado fresco y gourmet.,,English,,Germany
,Ikamar,luislalinde@ikamar.com,,"Pescamos, congelamos y distribuimos el mejor pescado, garantizando su calidad desde el origen.",,English,,USA
,Channel Sea Food,diane@channelseafood.com,,"For over 30 years, Channel Sea Food has been a major European supplier of frozen seafood (shrimps, froglegs, scallops, fishes) and ethnic products.",,English,,USA
,Martínez Moreno HNOS,mmoreno@mmoreno.com,,,,English,,USA
,Deutsche See,sourcing@deutschesee.de,,"Entdecken Sie die genussvolle Welt mit zahlreichen Rezepten, Tipps &amp; Tricks, Hintergrundinfos zum Unternehmen - für Privatkunden und Gewerbetreibende.",,English,,Germany
,Zhanjiang Guolian Aquatic,may@gl-fish.com,,湛江国联水产开发股份有限公司（深圳茂润供应链管理有限公司的母公司）创建于2001年，已发展成为中国大型水产品食品加工企业。公司以“为人类提供健康海洋食品”为使命，专注于水产行业的全产业链发展，以水产食品研制为龙头，现已发展成为集“对虾、罗非鱼、小龙虾、深水网箱”从“育苗——养殖——水产饲料——水产科研——食品加 工生产——贸易”为一体的全产业链跨国企业集团。2010年，公司在创业板挂牌上市。2019年公司年销售额46亿元，位居A股行业板块上市公司第一名。,,English,,USA
,Zhanjiang Guolian Aquatic,int@gl-fish.com,,湛江国联水产开发股份有限公司（深圳茂润供应链管理有限公司的母公司）创建于2001年，已发展成为中国大型水产品食品加工企业。公司以“为人类提供健康海洋食品”为使命，专注于水产行业的全产业链发展，以水产食品研制为龙头，现已发展成为集“对虾、罗非鱼、小龙虾、深水网箱”从“育苗——养殖——水产饲料——水产科研——食品加 工生产——贸易”为一体的全产业链跨国企业集团。2010年，公司在创业板挂牌上市。2019年公司年销售额46亿元，位居A股行业板块上市公司第一名。,,English,,USA
,Zhonglu Oceanic Fisheries,jnbgs@zofco.cn,,,,English,,USA
,"Kohyo Co., Ltd.",Kohyo@kohyoj.co.jp,,株式会社交洋は、水産、農産、畜産、飼料肥料、酒類などの輸出入および販売を行う食品総合商社です。,,Japanese,,Japan
,"Kohyo Co., Ltd.",nishimura-ta@kohyoj.co.jp,,Importador japonés para supermercados y cadenas de sushi.,,Japanese,,Japan
,Lam Kee Fisheries,jansenchew@lamkeeseafood.com,,Proveedor líder en Singapur para el sector hotelero de lujo.,,English,,USA
,All Big Frozen Food,vincent@allbig.com.sg,,"Importador y distribuidor de congelados ""Halal"" en el sudeste asiático.",,English,,Singapore
,Sineurope Pte Ltd,sineur@pacific.net.sg,,Especialistas en productos de lujo como aletas de tiburón y abulón.,,English,,USA
,Sineurope Pte Ltd,accounts@sineurope.com,,,,English,,USA
,The Seafood Company,kenneth.chia@theseafoodcompany.com.sg,,"Distribuidor integral que ofrece soluciones ""del mar a la mesa"".",,English,,Singapore
,Seafood Imports Inc.,seafood@keyseafood.com,,"Distribuidor mayorista enfocado en pescado fresco y congelado, con fuerte presencia en la costa este.",,English,,USA
,"L.M. Foods, LLC",info@lmfoods.com,,"Proveedor de surimi y productos de valor agregado, ideal para retail y cadenas de servicio.",,English,,USA
,Atalanta Corporation,stufano@atalantal.com,,"Uno de los mayores importadores de alimentos en EE.UU., manejando una amplia gama de especialidades gourmet y mariscos.",,English,,USA
,Blue Venture,info@blueventureinc.com,,Especialistas en cangrejo y productos de mariscos de valor agregado para el mercado norteamericano.,,English,,USA
,Island Lobster,missy@islandbsi.com,,Especialistas en la importación y distribución de langosta y mariscos premium.,,English,,USA
,Stavis Seafoods,mlynch@stavis.com,,"Empresa familiar histórica en Boston, importando más de 1,100 variedades de mariscos de todo el mundo.",,English,,USA
,Bumble Bee Foods LLC,Liz.Conant@fleishman.com,,"Gigante de la industria, famoso por atún enlatado pero con una amplia división de congelados y mariscos premium.",,English,,USA
,Channel Seafoods International,channelseafoods@gmail.com,,"Importador diverso con sede en Florida, enfocado en especies tropicales y sudamericanas.",,English,,USA
,Everfresh Seafood Company,moosa@everfreshseafoodusa.com,,"Distribuidor que conecta pesquerías globales con el mercado estadounidense, enfocado en frescura y calidad.",,English,,USA
,Fish Guys USA,bill@fishguy.com,,Distribuidor del medio oeste conocido por su exótica variedad y servicio a restaurantes de alta gama.,,English,,USA
,Santa Monica Seafood,Logan@smseafood.com,,"Mayorista centenario en Boston, manejando una línea completa de mariscos frescos y congelados.",,English,,USA
,Fortune Fish & Gourmet,markp@fortunefishco.net,,"Gran productor y distribuidor con sede en el Pacífico, famoso por su salmón de Alaska y pescado ahumado.",,English,,USA
,Tobruk International GmbH,grant@tobrukint.de,,"Distribuidor premier del medio oeste, reconocido por su logística impecable y portafolio gourmet.",,English,,Germany
,Biofrescos,biofrescos@biofrescos.pt,,"Especialistas en pescados planos y productos del Mar del Norte, con fuerte red de exportación e importación.",,Português,,Portugal
,Davimar S.r.l.,clienti@davimar.net,,Importador alemán clave para productos exóticos y especialidades congeladas de Asia y África.,,English,,USA
,,duc.cadovimex@gmail.com,,Importador global que abastece a la industria alemana y europea con materias primas y productos semielaborados.,,English,,USA
,,melissa@westernedgeseafood.com,,Especialista alemán en la importación de pescado fresco y especialidades gourmet.,,English,,USA
,,rodrigo.silva@sogenave.pt,,"Importador italiano clave en el mercado de Chioggia, especializado en moluscos y pescado fresco del Mediterráneo.",,Português,,Portugal
,,jeremias.rosat@friosursrl.com,,"Importador español con fuerte presencia en cefalópodos (pulpo, calamar) y mariscos de África.",,English,,USA
,,ant@aclatlantic.co.uk,,Trader holandés con amplia experiencia en la importación de pescado congelado a granel para industria.,,English,,United Kingdom
,,apagani@argafish.com,,Importador francés especializado en filetes de pescado y mariscos para el exigente mercado galo.,,English,,USA
,,comex@tchepescados.com,,"Uno de los mayores mayoristas de Rungis, importando la gama más amplia de mariscos frescos en Francia.",,English,,USA
,,mpaniagua@cabovirgenes.com,,"Empresa familiar valenciana especializada en la importación de sepia, calamar y pulpo.",,English,,USA
,,Russell@ruskim.co.uk,,"Líder del mercado alemán en pescado y mariscos, manufactura y distribución de productos premium.",,English,,United Kingdom
,,matthew@aquanitafoods.com,,"Gigante chino integrado verticalmente, enfocado en camarón y tilapia, importando también para el mercado interno.",,English,,USA
,,ncagliolo@estrellapatagonica.com.ar,,Empresa estatal china dedicada a la pesca de atún de altura y comercio global de commodities marinos.,,Español,,Argentina
,,barata@frescatto.com,,Importador japonés que abastece a supermercados y cadenas de sushi con atún y mariscos de alta calidad.,,English,,USA
,,jonathan.briese@dellys.com.br,,"Una de las compañías pesqueras más grandes del mundo, con divisiones masivas de importación y procesamiento.",,Português,,Brasil
,,l.michels@marinefoods.com,,"Líder global en productos del mar de ambient (atún), con creciente división de importación de congelados y refrigerados.",,English,,USA
,,comex@lmimport.com.br,,"Proveedor líder en Singapur, importando salmón y pescados premium para el sector hotelero de lujo.",,Português,,Brasil
,,carlos@troulo.com,,"Importador y distribuidor de congelados 'Halal', abasteciendo a mercados y caterings en el sudeste asiático.",,English,,USA
,,extremosule@gmail.com,,"Especialistas en productos de lujo como aletas de tiburón, pepino de mar y abulón seco/congelado.",,English,,USA
,,helder.goncalves@iberconsa.com,,"Conexión clave entre Oceanía y Asia, importando mariscos de Nueva Zelanda y Australia para el mercado chino.",,English,,USA
,,comercioexterior@proyectosdelmar.com.ar,,,,Español,,Argentina
,,tony@ggifoods.com,,,,English,,USA
,,russel@wcproducts.co.za,,,,English,,South Africa
,,faouzi.benarab@internationalfoodcommodities.com,,"Your domain name has been successfully registered with Hosting Ireland - other services offered include website builder, cloud hosting, cloud vps or dedicated servers.",,English,,USA
,,vgarcia@gammaseafood.com,,Alfa Gamma Seafood Group,,English,,USA
,,wakabayashi@schooner.co.jp,,,,Japanese,,Japan
,,comex@grupomattera.com,,,,English,,USA
,,qianan2008@126.com,,网易126免费邮箱–你的专业电子邮局，超过20年的邮箱运营经验，系统快速稳定安全，支持超大附件和网盘服务。网易邮箱官方App“邮箱大师”帮您高效处理邮件，支持所有邮箱，并可在手机、Windows和Mac上多端协同使用。,,English,,USA
,,oanzorena@icloud.com,,"Log in to iCloud to access your photos, mail, notes, documents and more. Sign in with your Apple Account or create a new account to start using Apple services.",,English,,USA
,,henrikh@salmoexport.dk,,,,English,,Denmark
,,Nodomachaidze@tradewisegroup.org,,,,English,,USA
,,NgocPNB@hungca.com,,,,English,,USA
,,fernando.pesquerauniversal@gmail.com,,,,English,,USA
,,exportacao@luzitania.ind.br,,,,Português,,Brasil
,,shakira.Naidoo@atlantisfoods.co.za,,,,English,,South Africa
,,comex@fishingmdq.com.ar,,,,Español,,Argentina
,,airazoqui@atlantic41.com,,,,English,,USA
,,davidvo.ftf@gmail.com,,,,English,,USA
,,marcelo@jeswory.com,,,,English,,USA
,,tomm@metafoodsllc.com,,,,English,,USA
,,marcus@freshfrozenfood.com.vn,,,,English,,Vietnam
,,ruisacramento@brasmar.com,,"A Brasmar tem para oferecer uma vasta variedade de produtos do mar congelados, em diversos formatos e tipos de apresentação, em função das necessidades de cada cliente.",,English,,USA
,,veronica@pescamarina.com.ar,,,,Español,,Argentina
,,steruggi@solimenosa.com.ar,,,,Español,,Argentina
,,safe@montevideo.com.uy,,"Noticias políticas, económicas, deportivas, culturales, tecnológicas y de interés general de Uruguay y el mundo",,Español,,Uruguay
,,gessica@costasul.com.br,,,,Português,,Brasil
,Salmo Export A/S,henrikh@salmoexport.dk,,,,English,,Denmark
,Western Edge Inc,melissa@westernedgeseafood.com ,,"Rely On The Fish People ValueThis is much more than an overused marketing term to us. Our philosophy is to be low cost providers of high quality seafood through our relationships with our farms and processors, which also provide value through consistency in quality and supply.TasteAll fish is not cr",,English,,USA
,Wild Caught Products,russel@wcproducts.co.za ,,,,English,,South Africa
,Iberconsa,helder.goncalves@iberconsa.com,,World leaders in catch and production of southern prawns and frozen hake. Top quality fresh fish frozen in our factory ships.,,English,,USA
,American Seafood Imports,sales@americanseafoodimports.com,,Importador especializado en productos del mar congelados de alta calidad para mayoristas y food service.,,English,,USA
,Seafood Imports Inc.,seafood@keyseafood.com,,"Distribuidor mayorista enfocado en pescado fresco y congelado, con fuerte presencia en la costa este.",,English,,USA
,"L.M. Foods, LLC",info@lmfoods.com,,"Proveedor de surimi y productos de valor agregado, ideal para retail y cadenas de servicio.",,English,,USA
,Atalanta Corporation,stufano@atalantal.com,,"Uno de los mayores importadores de alimentos en EE.UU., manejando una amplia gama de especialidades gourmet y mariscos.",,English,,USA
,Blue Venture,info@blueventureinc.com,,Especialistas en cangrejo y productos de mariscos de valor agregado para el mercado norteamericano.,,English,,USA
,High Liner Foods,feedback@highlinerfoodsUSA.com,,Líder en procesamiento y comercialización de productos del mar congelados de valor agregado para retail y foodservice.,,English,,USA
,Island Lobster,missy@islandbsi.com,,Especialistas en la importación y distribución de langosta y mariscos premium.,,English,,USA
,Stavis Seafoods,mlynch@stavis.com,,"Empresa familiar histórica en Boston, importando más de 1,100 variedades de mariscos de todo el mundo.",,English,,USA
,The Fishin Company,sales@fishinco.com,,"Uno de los mayores importadores de Tilapia y Salmón en EE.UU., proveedor clave de grandes retailers como Walmart.",,English,,USA
,Yamasho,info@yamashoinc.com,,Importador especializado en productos para sushi y gastronomía japonesa de alta gama.,,English,,USA
,Bumble Bee Foods LLC,Liz.Conant@fleishman.com,,"Gigante de la industria, famoso por atún enlatado pero con una amplia división de congelados y mariscos premium.",,English,,USA
,Channel Seafoods International,channelseafoods@gmail.com,,"Importador diverso con sede en Florida, enfocado en especies tropicales y sudamericanas.",,English,,USA
,Everfresh Seafood Company,moosa@everfreshseafoodusa.com,,"Distribuidor que conecta pesquerías globales con el mercado estadounidense, enfocado en frescura y calidad.",,English,,USA
,Fish Guys USA,bill@fishguy.com,,Distribuidor del medio oeste conocido por su exótica variedad y servicio a restaurantes de alta gama.,,English,,USA
,Atlantica Imports,info@atlanticaimports.com,,"Especialistas en importación de mariscos congelados, atendiendo tanto a retail como a distribuidores mayoristas.",,English,,USA
,John Nagle Co.,sales@johnnagle.com,,"Mayorista centenario en Boston, manejando una línea completa de mariscos frescos y congelados.",,English,,USA
,Santa Monica Seafood,Logan@smseafood.com,,"El mayor distribuidor de mariscos en el suroeste de EE.UU., líder en sostenibilidad y abastecimiento responsable.",,English,,USA
,Siam Canadian,info@siamcanadian.com,,"Gigante global del trading de mariscos, abasteciendo camarón, pescado y cefalópodos desde Asia y Sudamérica.",,English,,USA
,Ocean Beauty Seafoods,info@oceanbeauty.com,,"Gran productor y distribuidor con sede en el Pacífico, famoso por su salmón de Alaska y pescado ahumado.",,English,,USA
,Fortune Fish & Gourmet,markp@fortunefishco.net,,"Distribuidor premier del medio oeste, reconocido por su logística impecable y portafolio gourmet.",,English,,USA
,Seafood Connection,info@seafoodconnection.nl,,"Parte del grupo Maruha Nichiro, líder europeo en importación de pescado congelado.",,English,,Netherlands
,ASTURPESCA S.L.,sara@asturpesca.com / ,,Importador y procesador español con fuerte enfoque en pescado fresco y fileteado.,,English,,USA
,ASTURPESCA S.L.,"
export@asturpesca.com",,Importador y procesador español con fuerte enfoque en pescado fresco y fileteado.,,English,,USA
,AB Seafood Ltd.,"
ab@abseafood.eu",,Especialistas en pescados planos y productos del Mar del Norte.,,English,,USA
,L'Ocean,commande@locean.be,,Mayorista belga enfocado en mariscos frescos de alta calidad.,,English,,Belgium
,Scanimex Seafood,"
leen.de.rover@scanimex.nl",,Traders internacionales especializados en pescado congelado pelágicos.,,English,,Netherlands
,Tobruk International GmbH,grant@tobrukint.de,,Importador alemán clave para productos exóticos y especialidades congeladas.,,English,,Germany
,Towers Thompson Limited,info@towers-thompson.co.uk,,Grupo internacional que importe carnes y mariscos para retail en UK.,,English,,United Kingdom
,Eurobangla Foods Limited,info@eurobanglafoods.co.uk,,Especialistas en mariscos de agua dulce y productos asiáticos para el mercado étnico.,,English,,United Kingdom
,Biofrescos,biofrescos@biofrescos.pt,,"Importador portugués enfocado en ""seafood"" sostenible y congelados.",,Português,,Portugal
,Mapesca SA,info@mapesca.com,,"Mayorista ubicado en Mercabarna, importando pescado fresco y congelado.",,English,,USA
,Caspian Tradition,"
info@caspiantradition.com",,Reconocido mundialmente por caviar y huevas de pescado de lujo.,,English,,USA
,Rari Food International,info@rari.de,,Importador global que abastece a la industria europea con materias primas.,,English,,Germany
,Westcoast Seafood E.K.,"
roland.korn@westcoast-seafood.de",,Especialista alemán en la importación de pescado fresco y gourmet.,,English,,Germany
,Davimar S.r.l.,clienti@davimar.net,,"Importador italiano clave en Chioggia, especializado en moluscos y pescado fresco.",,English,,USA
,Ikamar,info@ikamar.com,,Importador español con fuerte presencia en cefalópodos y mariscos de África.,,English,,USA
,D. Visser Frozen Seafood,"
info@frozenfood.nl",,Trader holandés con amplia experiencia en pescado congelado a granel.,,English,,Netherlands
,Channel Sea Food,"
olivier@channelseafood.com",,Importador francés especializado en filetes de pescado y mariscos.,,English,,USA
,Demarne,contact@demarnefreres.com,,"Uno de los mayores mayoristas de Rungis, gran gama de mariscos frescos.",,English,,USA
,Martínez Moreno HNOS,"
pascual@mmoreno.com",,"Empresa familiar valenciana especializada en sepia, calamar y pulpo.",,English,,USA
,Deutsche See,"
djp@mhf.de",,Líder del mercado alemán en pescado y mariscos premium.,,English,,Germany
,Zhanjiang Guolian Aquatic,"
yuexiadusi@mail.ru",,"Gigante chino integrado verticalmente, enfocado en camarón y tilapia.",,English,,Russia
,Zhonglu Oceanic Fisheries,"
kingsleyzhang@yahoo.com.cn",,Empresa estatal china dedicada a la pesca de atún y comercio global.,,Chinese,,China
,"Kohyo Co., Ltd.",nishimura-ta@kohyoj.co.jp,,Importador japonés para supermercados y cadenas de sushi.,,Japanese,,Japan
,Maruha Nichiro Corp.,"
ir-info@maruha-nichiro.co.jp",,Una de las compañías pesqueras más grandes del mundo.,,Japanese,,Japan
,Thai Union Group,ir@thaiunion.com,,"Líder global en productos del mar (atún), congelados y refrigerados.",,English,,USA
,Lam Kee Fisheries,"
jansenchew@lamkeeseafood.com",,Proveedor líder en Singapur para el sector hotelero de lujo.,,English,,USA
,All Big Frozen Food,"
vincent@allbig.com.sg",,"Importador y distribuidor de congelados ""Halal"" en el sudeste asiático.",,English,,Singapore
,Sineurope Pte Ltd,sineur@pacific.net.sg,,Especialistas en productos de lujo como aletas de tiburón y abulón.,,English,,USA
,The Seafood Company,kenneth.chia@theseafoodcompany.com.sg,,"Distribuidor integral que ofrece soluciones ""del mar a la mesa"".",,English,,Singapore
,Auslink Marine,Sales@auslink.co.nz,,"Conexión clave entre Oceanía y Asia, importando mariscos para China.",,English,,New Zealand
Leonardo Chiabrera - Gerente Comercial,Swift Argentina S.A.,comex@swift.com.ar,www.swift.com.ar,"Líder en producción y exportación de carne vacuna, parte de Minerva Foods. Planta en Villa Gobernador Gálvez, Santa Fe.",,Español,,Argentina
Juan Bisso - Gerente Comercial,Frigorífico Rioplatense S.A.I.C.I.F.,export@rioplatense.com,www.rioplatense.com,"Uno de los principales exportadores de carne vacuna argentina. Ubicado en General Pacheco, Buenos Aires.",,English,,USA
Carolina Mendoza - Export Manager,Arre Beef S.A.,arrebeef@arrebeef.com,www.arrebeef.com,"Frigorífico exportador con plantas en Pérez Millán y Escobar, Buenos Aires. Especializado en carne vacuna premium.",,English,,USA
Pedro Erbin - Director Exportaciones,Frigorífico Gorina S.A.I.C.,pedro.erbin@friggorina.com,www.friggorina.com,Empresa líder con planta moderna en La Plata. Representa 14-16% de las exportaciones de carne argentina.,,English,,USA
Adrián Martínez - Gerente Ventas Exportación,Friar S.A.,amartinez@e-friar.com.ar,www.friarsa.com.ar,"Principal exportador Cuota 481 a Europa. Plantas en Reconquista y Nelson, Santa Fe. Más de 60 años de experiencia.",,Español,,Argentina
Gerente Comercial,Quickfood S.A.,ventas@quick-food.com.ar,www.quick-food.com.ar,Subsidiaria de Marfrig Group. Plantas en San Jorge (Santa Fe) y Villa Mercedes (San Luis). Procesamiento de carne y productos elaborados.,,Español,,Argentina
Romina Rolando - Contacto Comercial,Compañía Bernal S.A.,info@ciaber.com,www.companiabernal.com.ar,"Frigorífico exportador en Bernal Oeste, Buenos Aires. Especializado en cortes vacunos de alta calidad.",,Español,,Argentina
Patricio Phelan - Contacto Comercial,Marfrig Argentina S.A.,consultas@marfrig.com,www.marfrig.com.ar,Parte del grupo brasileño Marfrig. Uno de los mayores procesadores de carne de Argentina.,,Español,,Argentina
Florencia Sola - Contacto Comercial,Frigorífico Paladini S.A.,info@paladini.com,www.paladini.com,"Empresa fundada en 1923. Líder en fiambres, embutidos y chacinados. Casa central en Villa Gobernador Gálvez, Rosario.",,English,,USA
Luis Viera - Contacto Comercial,Rafaela Alimentos S.A.,consultas@rafalim.com,www.rafalim.com,"Frigorífico exportador de carne vacuna ubicado en Rafaela, Santa Fe. Especializado en cortes premium.",,English,,USA
Santiago Escales - Contacto Comercial,Grupo Lequio - Frigorífico Alberdi S.A.,contacto@grupolequio.com,www.grupolequio.com,Grupo frigorífico con presencia en Rosario. Incluye Frigorífico Alberdi y otras plantas de faena.,,English,,USA
Serafín Insúa - Director,Ecocarnes S.A.,ventas@ecocarnes.ar,www.ecocarnes.com.ar,Productor y exportador de carne vacuna. Enfoque en producción sustentable y trazabilidad.,,Español,,Argentina
Juan Manuel Castro - Responsable Carnes,Coto - Centro Integral de Comercialización S.A.,ventas@coto.com.ar,www.coto.com.ar,Cadena de supermercados con frigorífico propio. Producción integrada de carne vacuna para consumo interno.,,Español,,Argentina
Leonel Privat - Director Comercial,Black Bamboo Enterprises S.A.,lprivat@bbe-sa.com.ar,www.bbe-sa.com.ar,Frigorífico exportador de carne vacuna. Especializado en mercados asiáticos.,,Español,,Argentina
Patricio Casiraghi - Gerente,Frigorífico General Pico S.A.,pcasiraghi@frigopico.com,www.frigopico.com,"Planta frigorífica en General Pico, La Pampa. Producción de carne y derivados.",,English,,USA
Gerente de Hacienda,Carnes Pampeanas S.A.,hacienda@carnes-pampeanas.com,www.carnes-pampeanas.com,"Frigorífico exportador en Santa Rosa, La Pampa. Especializado en carne de feedlot.",,English,,USA
Gerente Comercial,S.A. Importadora y Exportadora de la Patagonia,exportaciones@laanonima.com.ar,www.laanonima.com.ar,Parte del grupo La Anónima. Frigorífico exportador en Patagonia con alcance internacional.,,Español,,Argentina
Director Comercial,Frimsa S.A.,info@frimsa.com.ar,www.frimsa.com.ar,Frigorífico exportador de carne vacuna. Planta habilitada para múltiples destinos internacionales.,,Español,,Argentina
Gerente Comercial,Azul Natural Beef S.A.,info@azulnaturalbeef.com,www.azulnaturalbeef.com,Productor de carne natural Angus y Hereford. Exportador de cortes premium desde Buenos Aires.,,English,,USA
Director Exportaciones,Santa Giulia S.A.,exportaciones@santagiulia.com.ar,www.santagiulia.com.ar,Frigorífico exportador de carne vacuna. Certificaciones internacionales de calidad.,,Español,,Argentina
Gerente General,Frigorífico Logros S.A.,info@frigologros.com.ar,www.frigologros.com.ar,Frigorífico con habilitación para exportación. Ubicado en provincia de Buenos Aires.,,Español,,Argentina
Director Comercial,Frigorífico Forres Beltrán S.A.,ventas@forres-beltran.com.ar,www.forres-beltran.com.ar,Productor y exportador de carne vacuna. Planta moderna con certificaciones sanitarias.,,Español,,Argentina
Nicolás Lotrecchiano - Gerente,Fridevi S.A.F.I.C.,lotrecchianonicolas@gmail.com,www.fridevi.com.ar,Frigorífico exportador de carne vacuna. Especializado en mercados de exportación.,,Español,,Argentina
Gerente Comercial,Carnes Abaroa Argentina S.A.,hge@carnesabaroa.com.ar,www.carnesabaroa.com.ar,Productor de carne vacuna argentina. Enfoque en calidad y trazabilidad.,,Español,,Argentina
Director Comercial,Colombo y Magliano S.A.,cym@colomboymagliano.com.ar,www.colomboymagliano.com.ar,Frigorífico con amplia trayectoria en el mercado argentino. Producción de cortes vacunos.,,Español,,Argentina
Gerente General,Frigorífico Novara S.A.,info@frigorificonovara.com.ar,www.frigorificonovara.com.ar,"Más de 90 años en la industria frigorífica. Ubicado en Toledo, Córdoba. Cabañas propias.",,Español,,Argentina
Director General,Frigorífico El Nono,info@frigorificoelnono.com,www.frigorificoelnono.com,"Empresa familiar en Paraná, Entre Ríos. Comercializa carne vacuna, cuenta con feedlot propio.",,English,,USA
Gerente Comercial,Ingeniero Quaranta S.A.,contacto@ingenieroquaranta.com.ar,www.ingenieroquaranta.com.ar,"Frigorífico en Concepción del Uruguay, Entre Ríos. Producción de carne y subproductos.",,Español,,Argentina
Director Comercial,Frigorífico La Ángela SRL,ventas@frigorificolaangela.com.ar,www.frigorificolaangela.com.ar,"Productor de embutidos y cortes de cerdo en Villaguay, Entre Ríos.",,Español,,Argentina
Gerente Exportaciones,Frideza - Carnes del Centro Argentino,contacto@frideza.com.ar,www.frideza.com.ar,"Comercializan y exportan carne porcina y vacuna. Ubicado en General Deheza, Córdoba.",,Español,,Argentina
Miguel Haimovich - Director,Mattievich S.A.,mhaimovich@mattievich.com.ar,www.mattievich.com.ar,Frigorífico exportador de carne vacuna. Planta habilitada para múltiples mercados.,,Español,,Argentina
Gerente Administración,Patagonia Meat S.A.,administracion@patagoniameat.com.ar,www.patagoniameat.com.ar,"Productor de carne patagónica. Ubicado en General Pico, La Pampa.",,Español,,Argentina
Director General,Frigorífico Pilotti S.A.,frigorificopilotti@gmail.com,www.frigopilotti.com.ar,"Frigorífico en La Adela, La Pampa. Habilitación para tránsito federal y exportación.",,Español,,Argentina
Administrador,Frigorífico HV S.A.,admbernasconi@gmail.com,www.frigohv.com.ar,"Planta frigorífica en Bernasconi, La Pampa. Producción de carne vacuna.",,Español,,Argentina
Gerente Comercial,Runfo S.A.,ventas@runfo.com.ar,www.runfo.com.ar,Frigorífico exportador de carne vacuna. Habilitado para mercados internacionales.,,Español,,Argentina
Director Comercial,Frigorífico Bermejo S.A.,info@frigobermejo.com.ar,www.frigobermejo.com.ar,Productor de carne vacuna. Planta con certificaciones para exportación.,,Español,,Argentina
Gerente General,Frigorífico Soychu S.A.,info@soychu.com.ar,www.soychu.com.ar,"Frigorífico en Gualeguay, Entre Ríos. Producción de carne y derivados.",,Español,,Argentina
Gerente Comercial,H.I.C.A. S.A.,ventas@hica.com.ar,www.hica.com.ar,"Frigorífico en Nogoyá, Entre Ríos. Especializado en faena y procesamiento.",,Español,,Argentina
Director Comercial,El Brillante SRL,info@elbrillantesrl.com.ar,www.elbrillantesrl.com.ar,"Frigorífico en San José de Feliciano, Entre Ríos. Producción de carne vacuna.",,Español,,Argentina
Gerente de Ventas,Frigolar S.A.,ventas@frigolar.com.ar,www.frigolar.com.ar,Frigorífico exportador con habilitaciones para múltiples destinos.,,Español,,Argentina
Gerente Carnes,Cencosud S.A.,carnes@cencosud.com.ar,www.cencosud.com,Grupo retail con producción propia de carne. Abastece cadenas Jumbo y Disco.,,Español,,Argentina
Gerente Comercial,Frigorífico del Sur S.A.,info@frigodelsur.com.ar,www.frigodelsur.com.ar,"Planta frigorífica en Río Cuarto, Córdoba. Producción de carne vacuna.",,Español,,Argentina
Director General,Frigorífico Santa Clara,ventas@frigosantaclara.com.ar,www.frigosantaclara.com.ar,Frigorífico en Córdoba capital. Especializado en cortes frescos.,,Español,,Argentina
Gerente Comercial,Frigorífico Coronel Moldes S.A.,info@frigocoronelmoldes.com.ar,www.frigocoronelmoldes.com.ar,"Planta frigorífica en Coronel Moldes, Córdoba. Producción de carne.",,Español,,Argentina
Director Comercial,Frigorífico San Francisco S.A.,ventas@frigosanfrancisco.com.ar,www.frigosanfrancisco.com.ar,"Frigorífico en Monte Redondo, Córdoba. Faena y procesamiento de ganado.",,Español,,Argentina
